antibody_id,antibody_name,mseq,patch_cdr_hyd,ens_charge,cdr_len,Fv_chml,patch_cdr_pos,patch_cdr_neg,patch_cdr_ion,pI_3D,patch_hyd,patch_pos,patch_neg,patch_ion,mass,r_gyr,r_solv,asa_vdw,asa_hyd,asa_hph,volume,mobility,dipole_moment,hyd_moment,debye,coeff_280,coeff_fric,coeff_diff,sed_const,eccen,zeta,zdipole,zquadrupole,helicity,strand,henry,E,affinity_VL_VH,amphipathicity,ASPmax,BSA_LC_HC,DRT,HI,hyd_idx,hyd_idx_cdr,hyd_strength,hyd_strength_cdr,Packing Score
GDPa1-001,abagovomab,1,422.73459,6.6430798,64,2.5022349,283.31296,185.19525,468.50818,9.0017929,663.51978,798.29871,443.68823,1241.9869,24.616339,17.876751,23.829718,11194.743,5873.1636,4906.8535,22732.527,5.981832,279.26801,298.34393,9.6188574,55600,3.9976984e-011,1.0361126e-006,2.5564609e-013,0.50399631,10.665429,2.05919e-015,0.56095415,3.123765,46.365452,1.0842271,-1329.8953,-85.221558,0.58038545,0.53728813,688.73303,1.3701409,0.4374316,6.6719999,3.563,8.1063929,5.5274277,2.2007945
GDPa1-002,abituzumab,2,473.33133,2.6632249,63,-3.3139076,264.51834,197.46742,461.98575,7.7190266,696.28107,701.36969,466.70676,1168.0764,24.815392,17.988274,23.941704,11289.678,5834.9102,5033.8618,22787.617,0.09577588,486.34656,273.02441,9.6188574,51590,4.0164854e-011,1.0312687e-006,2.5650846e-013,0.47710392,0.17084894,3.9279361e-016,0.090984024,3.3415799,44.730274,1.0846428,-1666.9519,-94.799492,0.58994406,0.51896363,749.64246,1.1827189,0.91687983,5.3720002,1.516,10.350956,6.9779234,2.2415674
GDPa1-003,abrezekimab,3,333.76254,0.061608683,65,-1.9373015,178.38019,349.03946,527.41962,6.1722331,662.42957,647.60498,591.39374,1238.9988,25.012257,17.878229,23.802691,11070.438,6011.3218,4653.0249,23084.73,-3.2780161,463.39987,192.26309,9.6188574,44140,3.9931645e-011,1.0372939e-006,2.6005397e-013,0.49396485,-5.8444939,9.3504475e-016,0.39096165,2.8165205,44.501419,1.0841266,-1547.5961,-95.384422,0.60950327,0.48499948,751.71674,1.038281,0.5680539,7.816,1.079,7.4880505,2.4077177,2.0827029
GDPa1-004,abrilumab,4,414.47006,-1.1964875,63,-5.1390276,96.88118,400.10153,496.9827,5.0455709,734.50598,656.6015,644.16956,1300.771,24.327824,18.079134,23.944151,11446.529,6050.1445,4959.1099,22334.58,-4.8403625,757.95618,298.87311,9.6188574,52160,4.0168958e-011,1.0311588e-006,2.5144185e-013,0.47993135,-8.6266031,1.4566554e-015,0.49007538,2.858484,42.916019,1.0846519,-951.44867,-77.058235,0.58344746,0.44385615,657.40149,0.67336518,1.303712,4.4130001,0.43900001,7.9539762,3.7485983,2.3360381
GDPa1-005,adalimumab,5,307.85974,4.0160418,66,-7.9511285,204.99413,278.24796,483.2421,7.912375,580.59906,704.00635,494.86319,1198.8696,24.931669,17.819609,23.787777,11112.743,5702.4453,4995.3452,22948.541,1.6898923,181.12083,332.45358,9.6188574,48610,3.9906627e-011,1.0379447e-006,2.593787e-013,0.48987496,3.013428,5.7063069e-016,0.2093724,3.3862264,44.957115,1.0840712,-2319.0906,-94.281441,0.61044073,0.48506027,682.60834,0.89540845,1.4414297,5.2350001,0.68099999,8.298461,4.2234216,2.1825895
GDPa1-006,aducanumab,6,280.38144,10.743904,69,4.8334942,342.88132,131.16255,474.04385,9.7234936,501.81067,894.0528,324.28302,1218.3358,25.256001,17.928551,23.99119,11260.308,5800.6572,5048.1455,23311.988,10.233656,510.15497,380.31104,9.6188574,48610,4.0247871e-011,1.0291523e-006,2.6052711e-013,0.5069133,18.235394,3.0321177e-015,0.82577455,3.2673001,45.026016,1.0848262,-2488.6855,-94.830887,0.6000253,0.45845631,700.50452,0.81559759,0.96498454,6.0770001,1.568,6.2831726,3.4086776,2.1549282
GDPa1-007,alemtuzumab,7,233.37138,7.67663,66,-2.0625689,353.62476,151.9832,505.60794,9.5028028,535.67126,836.82745,332.72449,1169.5519,25.23934,17.958193,23.999233,11291.569,5902.8667,4986.875,23300.898,6.8055382,285.76096,461.84671,9.6188574,38640,4.0261364e-011,1.0288006e-006,2.6026631e-013,0.47491103,12.126651,1.9592327e-015,0.62754852,4.3207145,43.990868,1.084856,-2215.8435,-94.471558,0.60959846,0.45184773,722.33258,0.73659539,1.2074665,5.2989998,-0.81099999,4.4928284,0,2.1638384
GDPa1-008,alirocumab,8,355.90833,2.9814842,69,1.052935,222.39821,178.95578,401.35397,7.6127706,660.75842,606.27588,462.07339,1068.3492,25.327221,18.067375,24.091183,11435.502,5786.3135,5203.4331,23263.117,0.18708926,316.18604,653.67603,9.6188574,52620,4.0415622e-011,1.0248677e-006,2.6017413e-013,0.50524992,0.33329135,3.6330625e-016,0.17419136,2.6625254,47.299347,1.0851969,-2558.3169,-86.150085,0.61219293,0.47031593,649.59808,0.85542011,1.151498,5.1300001,-0.54000002,10.277945,4.9322314,2.2023449
GDPa1-009,amatuximab,9,311.22696,4.1436768,63,2.1444707,333.83612,133.67152,467.50766,8.0463276,529.56342,730.96277,521.57446,1252.5372,24.376232,17.84054,23.610085,10894.116,5704.335,4808.2173,22330.99,1.8983364,388.89435,210.68269,9.6188574,54110,3.9608525e-011,1.0457671e-006,2.5551141e-013,0.45806497,3.3867934,7.1338311e-016,0.23351347,2.2600548,46.29401,1.0834097,-1274.6042,-86.028305,0.57174182,0.47273001,657.95282,0.95527607,0.63001239,3.1589999,0.75400001,9.0419922,5.5524926,2.2295992
GDPa1-010,andecaliximab,10,511.93082,4.9947829,60,-1.3650399,185.40678,114.30041,299.70718,8.5584536,794.73242,668.47729,395.12445,1063.6018,24.475754,17.829857,23.735344,11088.173,5969.4321,4744.3105,22592.59,2.6984699,179.53047,195.32043,9.6188574,51590,3.9818662e-011,1.0402412e-006,2.5519891e-013,0.46509022,4.8128033,9.7539211e-016,0.24656345,2.5522635,45.053528,1.0838761,-1912.7693,-85.382698,0.59280282,0.51515538,661.02466,1.1484187,0.98816353,7.9250002,2.684,10.806393,6.9211817,2.1527133
