model,feature_type,target_name,fold,num_test_groups,spearman,spearman_pvalue,mae,mse,rmse,r2,num_features,dr_n_components
LinearRegression,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.5812606901318463,2.827561797969577e-05,0.10822750942588123,0.015915186403609987,0.12615540576451723,0.269392080369371,8,
Ridge,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.583206565230327,2.6188586060080776e-05,0.10864325974307505,0.01595759153749517,0.12632336101250302,0.2674454159782782,8,
Lasso,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,,,0.1489344146575423,0.027379060265880936,0.16546619070336072,-0.2568723830818338,8,
ElasticNet,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,,,0.1489344146575423,0.027379060265880936,0.16546619070336072,-0.2568723830818338,8,
Huber,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.5879322618980656,2.169427767551149e-05,0.10570211543576151,0.015671762037118543,0.12518690840946006,0.2805668015117748,8,
RandomForest,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.42545169117493586,0.0035734978046815815,0.1228771786537778,0.020005183332562633,0.1414396808981222,0.08163530066367086,8,
XGBoost,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.30897716742302594,0.03890502085209121,0.12968218753823313,0.02360999208456869,0.15365543298096782,-0.08384826680318813,8,
LightGBM,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.3758318761636807,0.010951412770843372,0.1179627460272891,0.022138563778188368,0.14879033496228297,-0.016300382251468237,8,
KNN,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.39121616299850537,0.00787593259837121,0.11126003075555556,0.019025473309833254,0.13793285797747123,0.1266101996937713,8,
GradientBoosting,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.23225409211150533,0.12472391427653723,0.13778445275758977,0.027452602282661973,0.16568826839176626,-0.2602484277302113,8,
KernelRidge,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.583206565230327,2.6188586060080776e-05,0.13325682111096665,0.02880136457302103,0.1697096478489689,-0.3221651647413437,8,
GaussianProcess,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.261859191824103,0.08227466206962963,0.11621340953203338,0.022768424697320693,0.15089209620560215,-0.04521499023114761,8,
SVR,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.47006782736152664,0.0011214471029728928,0.11500672702217368,0.01755994824477937,0.13251395490581122,0.19388708805636656,8,
MLP,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.4097456993086282,0.005186806653375186,0.11791672412591907,0.019352235004117976,0.13911231075687722,0.1116097670489995,8,
TabPFN,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,1,1,0.5452620008099553,0.00010740118471189573,0.11349595915108723,0.01680824074639385,0.12964659944014673,0.2283952262357355,8,
LinearRegression,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.5529181737969563,0.00017758690730877797,0.10970800980865003,0.015013003709741615,0.12252756306130314,0.3319752725752675,8,
Ridge,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.5490760386663395,0.00020115780127707384,0.10978055922416247,0.015046466372597352,0.12266403862826852,0.33048630430047754,8,
Lasso,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,,,0.131232350675059,0.02497661737823196,0.15803992336821718,-0.11136973910548664,8,
ElasticNet,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,,,0.131232350675059,0.02497661737823196,0.15803992336821718,-0.11136973910548664,8,
Huber,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.5686359993312982,0.00010494585002478085,0.11093424290787877,0.015428584622096451,0.12421185379059621,0.3134834150452104,8,
RandomForest,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.4271755695222221,0.005343750451998054,0.11840267189365852,0.019276835430040017,0.13884104375162273,0.14225007981527116,8,
XGBoost,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.47607547118461874,0.001653791072063564,0.12012301688454795,0.01856709581801033,0.13626113098756493,0.17383094264827104,8,
LightGBM,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.3798474504132596,0.014302110992540274,0.12264312203755404,0.02124360302214271,0.14575185426656742,0.054735988030315985,8,
KNN,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.4097291646640371,0.007806279588786383,0.11819155443414635,0.02160327321344095,0.1469805198434165,0.03873195671518992,8,
GradientBoosting,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.3718138951401516,0.016681047726540835,0.12139360752570194,0.02150982607036676,0.14666228578051946,0.04289001885169974,8,
KernelRidge,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.5490760386663395,0.00020115780127707384,0.19094932397653144,0.04953021626348824,0.22255385025536684,-1.2039166750645025,8,
GaussianProcess,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.34439502170802205,0.02745762078900022,0.13697873835511432,0.030958934988044168,0.1759515131734995,-0.3775613798941877,8,
SVR,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.5384228458041744,0.0002819888169442494,0.11286124706488199,0.01699831214189339,0.13037757530301516,0.24363618002034815,8,
MLP,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.38403887055575076,0.013179543326257767,0.1401436369271316,0.028557908567496168,0.16899085350247856,-0.2707243304178466,8,
TabPFN,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,2,1,0.48428366896366387,0.001334934100039172,0.11379742883909626,0.017183977385934496,0.13108767060991852,0.23537474370548694,8,
